"movie","year_of_award","avg_vote","genre","duration","country","period","count","sumMovies"
"Lawrence Of Arabia",1963,8.3,"Biography",228,"UK","1947 - 1963",3,147
"Lawrence Of Arabia",1963,8.3,"Drama",228,"UK","1947 - 1963",5,1755
"Leaving Las Vegas",1996,7.5,"Drama",111,"France, UK, USA","1981 - 1997",3,1755
"Leaving Las Vegas",1996,7.5,"Romance",111,"France, UK, USA","1981 - 1997",2,336
"Life Of Pi",2013,7.9,"Adventure",127,"USA, Taiwan, UK, Canada","1998 - 2014",1,38
"Life Of Pi",2013,7.9,"Drama",127,"USA, Taiwan, UK, Canada","1998 - 2014",5,1755
"Life Of Pi",2013,7.9,"Fantasy",127,"USA, Taiwan, UK, Canada","1998 - 2014",1,7
"Lilies Of The Field",1964,7.6,"Drama",94,"USA","1964 - 1980",4,1755
"Lincoln",2013,7.3,"Biography",150,"USA, India","1998 - 2014",1,147
"Lincoln",2013,7.3,"Drama",150,"USA, India","1998 - 2014",5,1755
"Lincoln",2013,7.3,"History",150,"USA, India","1998 - 2014",2,80
"Little Miss Sunshine",2007,7.8,"Comedy",101,"USA","1998 - 2014",1,161
"Little Miss Sunshine",2007,7.8,"Drama",101,"USA","1998 - 2014",5,1755
"Lust For Life",1957,7.4,"Biography",122,"USA","1947 - 1963",3,147
"Lust For Life",1957,7.4,"Drama",122,"USA","1947 - 1963",5,1755
"Marty",1956,7.7,"Drama",90,"USA","1947 - 1963",5,1755
"Marty",1956,7.7,"Romance",90,"USA","1947 - 1963",3,336
"Mary Poppins",1965,7.8,"Comedy",139,"USA","1964 - 1980",3,161
"Mary Poppins",1965,7.8,"Family",139,"USA","1964 - 1980",3,20
"Mary Poppins",1965,7.8,"Fantasy",139,"USA","1964 - 1980",1,7
"Melvin And Howard",1981,6.8,"Comedy",95,"USA","1981 - 1997",1,161
"Melvin And Howard",1981,6.8,"Drama",95,"USA","1981 - 1997",5,1755
"Michael Clayton",2008,7.2,"Crime",119,"USA","1998 - 2014",3,126
"Michael Clayton",2008,7.2,"Drama",119,"USA","1998 - 2014",4,1755
"Michael Clayton",2008,7.2,"Mystery",119,"USA","1998 - 2014",1,16
"Midnight Cowboy",1970,7.8,"Drama",113,"USA","1964 - 1980",4,1755
"Midnight Cowboy",1970,7.8,"Western",113,"USA","1964 - 1980",2,25
"Mighty Aphrodite",1996,7,"Comedy",95,"USA","1981 - 1997",1,161
"Mighty Aphrodite",1996,7,"Fantasy",95,"USA","1981 - 1997",1,7
"Mighty Aphrodite",1996,7,"Romance",95,"USA","1981 - 1997",2,336
"Mildred Pierce",1946,8,"Crime",111,"USA","1930 - 1946",1,126
"Mildred Pierce",1946,8,"Drama",111,"USA","1930 - 1946",5,1755
"Mildred Pierce",1946,8,"Film-Noir",111,"USA","1930 - 1946",3,16
"Milk",2009,7.5,"Biography",128,"USA","1998 - 2014",1,147
"Milk",2009,7.5,"Drama",128,"USA","1998 - 2014",5,1755
"Million Dollar Baby",2005,8.1,"Drama",132,"USA","1998 - 2014",5,1755
"Million Dollar Baby",2005,8.1,"Sport",132,"USA","1998 - 2014",3,21
"Min And Bill",1931,6.8,"Comedy",69,"USA","1930 - 1946",1,161
"Min And Bill",1931,6.8,"Drama",69,"USA","1930 - 1946",3,1755
"Miracle On 34th Street",1948,7.9,"Comedy",96,"USA","1947 - 1963",2,161
"Miracle On 34th Street",1948,7.9,"Drama",96,"USA","1947 - 1963",5,1755
"Miracle On 34th Street",1948,7.9,"Family",96,"USA","1947 - 1963",1,20
"Misery",1991,7.8,"Drama",107,"USA","1981 - 1997",5,1755
