"movie","year_of_award","award","avg_vote","genre","duration","country","period"
"Kiss Of The Spider Woman",1986,"Best Actor",7.4,"Drama",120,"Brazil","1981 - 1997"
"Kitty Foyle",1941,"Best Actress",7,"Drama, Romance",108,"USA","1930 - 1946"
"Klute",1972,"Best Actress",7.1,"Crime, Mystery, Thriller",114,"USA","1964 - 1980"
"Kramer Vs. Kramer",1980,"Best Supporting Actress",7.8,"Drama",105,"USA","1964 - 1980"
"Kramer Vs. Kramer",1980,"Best Actor",7.8,"Drama",105,"USA","1964 - 1980"
"Kramer Vs. Kramer",1980,"Best Director",7.8,"Drama",105,"USA","1964 - 1980"
"L.a. Confidential",1998,"Best Supporting Actress",8.2,"Crime, Drama, Mystery",138,"USA","1998 - 2014"
"Lawrence Of Arabia",1963,"Best Director",8.3,"Adventure, Biography, Drama",228,"UK","1947 - 1963"
"Leaving Las Vegas",1996,"Best Actor",7.5,"Drama, Romance",111,"France, UK, USA","1981 - 1997"
"Life Of Pi",2013,"Best Director",7.9,"Adventure, Drama, Fantasy",127,"USA, Taiwan, UK, Canada","1998 - 2014"
"Lilies Of The Field",1964,"Best Actor",7.6,"Drama",94,"USA","1964 - 1980"
"Lincoln",2013,"Best Actor",7.3,"Biography, Drama, History",150,"USA, India","1998 - 2014"
"Little Miss Sunshine",2007,"Best Supporting Actor",7.8,"Comedy, Drama",101,"USA","1998 - 2014"
"Lust For Life",1957,"Best Supporting Actor",7.4,"Biography, Drama",122,"USA","1947 - 1963"
"Marty",1956,"Best Actor",7.7,"Drama, Romance",90,"USA","1947 - 1963"
"Marty",1956,"Best Director",7.7,"Drama, Romance",90,"USA","1947 - 1963"
"Mary Poppins",1965,"Best Actress",7.8,"Comedy, Family, Fantasy",139,"USA","1964 - 1980"
"Melvin And Howard",1981,"Best Supporting Actress",6.8,"Comedy, Drama",95,"USA","1981 - 1997"
"Michael Clayton",2008,"Best Supporting Actress",7.2,"Crime, Drama, Mystery",119,"USA","1998 - 2014"
"Midnight Cowboy",1970,"Best Director",7.8,"Drama, Western",113,"USA","1964 - 1980"
"Mighty Aphrodite",1996,"Best Supporting Actress",7,"Comedy, Fantasy, Romance",95,"USA","1981 - 1997"
"Mildred Pierce",1946,"Best Actress",8,"Crime, Drama, Film-Noir",111,"USA","1930 - 1946"
"Milk",2009,"Best Actor",7.5,"Biography, Drama",128,"USA","1998 - 2014"
"Million Dollar Baby",2005,"Best Supporting Actor",8.1,"Drama, Sport",132,"USA","1998 - 2014"
"Million Dollar Baby",2005,"Best Director",8.1,"Drama, Sport",132,"USA","1998 - 2014"
"Million Dollar Baby",2005,"Best Actress",8.1,"Drama, Sport",132,"USA","1998 - 2014"
"Min And Bill",1931,"Best Actress",6.8,"Comedy, Drama",69,"USA","1930 - 1946"
"Miracle On 34th Street",1948,"Best Supporting Actor",7.9,"Comedy, Drama, Family",96,"USA","1947 - 1963"
"Misery",1991,"Best Actress",7.8,"Drama, Thriller",107,"USA","1981 - 1997"
"Mister Roberts",1956,"Best Supporting Actor",7.7,"Comedy, Drama, War",123,"USA","1947 - 1963"
"Monster",2004,"Best Actress",7.3,"Biography, Crime, Drama",109,"Germany, USA","1998 - 2014"
"Monster's Ball",2002,"Best Actress",7,"Drama, Romance",111,"USA","1998 - 2014"
"Moonstruck",1988,"Best Supporting Actress",7.1,"Comedy, Drama, Romance",102,"USA","1981 - 1997"
"Moonstruck",1988,"Best Actress",7.1,"Comedy, Drama, Romance",102,"USA","1981 - 1997"
"Morning Glory",1934,"Best Actress",6.5,"Drama, Romance",74,"USA","1930 - 1946"
"Mr. Deeds Goes To Town",1937,"Best Director",7.9,"Comedy, Drama, Romance",115,"USA","1930 - 1946"
"Mrs. Miniver",1942,"Best Actress",7.6,"Drama, Romance, War",134,"USA","1930 - 1946"
"Mrs. Miniver",1943,"Best Director",7.6,"Drama, Romance, War",134,"USA","1930 - 1946"
"Mrs. Miniver",1943,"Best Supporting Actress",7.6,"Drama, Romance, War",134,"USA","1930 - 1946"
"Murder On The Orient Express",1975,"Best Supporting Actress",7.3,"Crime, Drama, Mystery",128,"UK, USA","1964 - 1980"
"My Cousin Vinny",1993,"Best Supporting Actress",7.6,"Comedy, Crime",120,"USA","1981 - 1997"
"My Fair Lady",1965,"Best Director",7.8,"Drama, Family, Musical",170,"USA","1964 - 1980"
"My Fair Lady",1965,"Best Actor",7.8,"Drama, Family, Musical",170,"USA","1964 - 1980"
"Mystic River",2004,"Best Supporting Actor",7.9,"Crime, Drama, Mystery",138,"USA, Australia","1998 - 2014"
"Mystic River",2003,"Best Actor",7.9,"Crime, Drama, Mystery",138,"USA, Australia","1998 - 2014"
"National Velvet",1946,"Best Supporting Actress",7.3,"Drama, Family, Sport",123,"USA","1930 - 1946"
"Network",1977,"Best Actor",8.1,"Drama",121,"USA","1964 - 1980"
"Network",1977,"Best Actress",8.1,"Drama",121,"USA","1964 - 1980"
"Network",1977,"Best Supporting Actress",8.1,"Drama",121,"USA","1964 - 1980"
"No Country For Old Men",2008,"Best Director",8.1,"Crime, Drama, Thriller",122,"USA","1998 - 2014"
"No Country For Old Men",2008,"Best Supporting Actor",8.1,"Crime, Drama, Thriller",122,"USA","1998 - 2014"
"None But The Lonely Heart",1945,"Best Supporting Actress",6.5,"Drama, Romance",113,"USA","1930 - 1946"
"Norma Rae",1980,"Best Actress",7.3,"Drama",114,"USA","1964 - 1980"
"Oliver!",1969,"Best Director",7.4,"Drama, Family, Musical",153,"UK","1964 - 1980"
"On Golden Pond",1982,"Best Actor",7.6,"Drama",109,"UK, USA","1981 - 1997"
"On Golden Pond",1982,"Best Actress",7.6,"Drama",109,"UK, USA","1981 - 1997"
"On The Waterfront",1955,"Best Actor",8.1,"Crime, Drama, Thriller",108,"USA","1947 - 1963"
"On The Waterfront",1955,"Best Director",8.1,"Crime, Drama, Thriller",108,"USA","1947 - 1963"
"On The Waterfront",1955,"Best Supporting Actress",8.1,"Crime, Drama, Thriller",108,"USA","1947 - 1963"
"One Flew Over The Cuckoo's Nest",1976,"Best Actress",8.7,"Drama",133,"USA","1964 - 1980"
"One Flew Over The Cuckoo's Nest",1976,"Best Director",8.7,"Drama",133,"USA","1964 - 1980"
"One Flew Over The Cuckoo's Nest",1976,"Best Actor",8.7,"Drama",133,"USA","1964 - 1980"
"Ordinary People",1981,"Best Director",7.7,"Drama",124,"USA","1981 - 1997"
"Out Of Africa",1986,"Best Director",7.2,"Biography, Drama, Romance",161,"USA, UK","1981 - 1997"
"Paper Moon",1974,"Best Supporting Actress",8.1,"Comedy, Drama",102,"USA","1964 - 1980"
"Patton",1971,"Best Actor",7.9,"Biography, Drama, War",172,"USA","1964 - 1980"
"Patton",1971,"Best Director",7.9,"Biography, Drama, War",172,"USA","1964 - 1980"
"Philadelphia",1994,"Best Actor",7.7,"Drama",125,"USA","1981 - 1997"
"Places In The Heart",1985,"Best Actress",7.3,"Drama",111,"USA","1981 - 1997"
"Platoon",1987,"Best Director",8.1,"Drama, War",120,"USA, UK","1981 - 1997"
"Pollock",2001,"Best Supporting Actress",7,"Biography, Drama",122,"USA","1998 - 2014"
"Precious",2010,"Best Supporting Actress",7.3,"Drama",110,"USA","1998 - 2014"
"Prizzi's Honor",1986,"Best Supporting Actress",6.7,"Comedy, Crime, Drama",130,"USA","1981 - 1997"
"Raging Bull",1981,"Best Actor",8.2,"Biography, Drama, Sport",129,"USA","1981 - 1997"
"Rain Man",1989,"Best Director",8,"Drama",133,"USA","1981 - 1997"
"Ray",2005,"Best Actor",7.7,"Biography, Drama, Music",152,"USA","1998 - 2014"
"Reds",1982,"Best Director",7.3,"Biography, Drama, History",195,"USA","1981 - 1997"
"Reds",1982,"Best Supporting Actress",7.3,"Biography, Drama, History",195,"USA","1981 - 1997"
"Reversal Of Fortune",1991,"Best Actor",7.2,"Biography, Drama, Mystery",111,"USA, Japan, UK","1981 - 1997"
"Rocky",1977,"Best Director",8.1,"Drama, Sport",120,"USA","1964 - 1980"
"Roman Holiday",1954,"Best Actress",8,"Comedy, Romance",118,"USA","1947 - 1963"
"Room At The Top",1960,"Best Actress",7.5,"Drama, Romance",117,"UK","1947 - 1963"
"Rosemary's Baby",1969,"Best Supporting Actress",8,"Drama, Horror",137,"USA","1964 - 1980"
"Ryan's Daughter",1971,"Best Supporting Actor",7.4,"Drama, Romance",206,"UK","1964 - 1980"
"Save The Tiger",1974,"Best Actor",6.9,"Drama",100,"USA","1964 - 1980"
"Saving Private Ryan",1999,"Best Director",8.6,"Drama, War",169,"USA","1998 - 2014"
"Sayonara",1958,"Best Supporting Actor",7.1,"Drama, Romance",147,"USA","1947 - 1963"
"Sayonara",1958,"Best Supporting Actress",7.1,"Drama, Romance",147,"USA","1947 - 1963"
"Scent Of A Woman",1993,"Best Actor",8,"Drama",156,"USA","1981 - 1997"
"Schindler's List",1994,"Best Director",8.9,"Biography, Drama, History",195,"USA","1981 - 1997"
"Separate Tables",1959,"Best Supporting Actress",7.4,"Drama, Romance",100,"USA","1947 - 1963"
"Separate Tables",1959,"Best Actor",7.4,"Drama, Romance",100,"USA","1947 - 1963"
"Sergeant York",1942,"Best Actor",7.7,"Biography, Drama, History",134,"USA","1930 - 1946"
"Shakespeare In Love",1999,"Best Actress",7.1,"Comedy, Drama, History",123,"USA, UK","1998 - 2014"
"Shakespeare In Love",1999,"Best Supporting Actress",7.1,"Comedy, Drama, History",123,"USA, UK","1998 - 2014"
"Shampoo",1976,"Best Supporting Actress",6.3,"Comedy, Drama",109,"USA","1964 - 1980"
"Shine",1997,"Best Actor",7.7,"Biography, Drama, Music",105,"Australia","1981 - 1997"
"Silver Linings Playbook",2013,"Best Actress",7.7,"Comedy, Drama, Romance",122,"USA","1998 - 2014"
"Skippy",1932,"Best Director",6.3,"Comedy, Drama, Family",85,"USA","1930 - 1946"
"Slumdog Millionaire",2009,"Best Director",8,"Drama, Romance",120,"UK, India","1998 - 2014"
